Hot Chips Sml Plain Salt,7
Hot Chips Sml Chicken Salt,7
Hot Chips Sml Rose Chilli Salt,7
1 set,0
2 set,0
3 set,0
4 set,0
5 set,0
6 set,0
7 set,0
8 set,0
9 set,0
10 set,0
Small Gravy,1
Large Gravy,5
Half,0
Whole,8
Egg,2
Bacon,2
Cheese,2
Avo,2
Lettuce,1
Tomato,1
Beetroot,1
Spanish Onion,1
Caramelised Onion,1
Pineapple,1
Pickles,1
Grilled Chicken,4
Wagyu Beef,4
Pulled Pork,4
Rocket,0
Lettuce,0
Original,0
Honey,0
Hot and spicy,0
Chilli Mayo,0
Peri Peri,0
Mayo,0
Aioli,0
Tomato,0
Tomb,0
Gravy,0
BBQ,0
Sweet Chilli,0
Regular,0
Large,3
Family,8
Quarter,0
Plain,0
Chicken,0
Rosemary Chilli,0
Quarter,0
Half,4
Whole,12
Hot Chips Sml Plain Salt,7
Herbed Lemon Potatoes,10
Oven Roasted Vegetables,10
Hot Chips Sml Chikcen Salt,7
Hot Chips Sml Rose Chilli Salt,7
Plain,0
Chicken,0
Rosemary chilli,0
Bacon,2
sausage patty,2
halloumi,2
smoked salmon,2
cheese,2
avocado,2
hash brown,2
chorizo,2
grilled tomato,2
cooked onion,1
rocket,1
spinach,1
extra egg,3
Tomato sauce,0
BBQ sauce,0
Tomato relish,0
Aiolo sauce,0
Mayo,0
Hollandaise sauce,1
Pesto,1
No sauce,0
bacon,2
sausage patty,2
halloumi,2
smoked salmon,2
cheese,2
avocado,2
hash brown,2
chorizo,2
grilled tomato,2
cooked onion,1
rocket,1
spinach,1
extra egg,3
Tomato sauce,0
BBQ sauce,0
Tomato relish,0
Aiolo sauce,0
Mayo,0
Hollandaise sauce,1
Pesto,1
No sauce,0
Vanila Coke,0
Lift,0
Diet Coke,0
Fanta,0
Bottled Water 600 mL,0
Chocolate Shake,1
add ons2,25
add on3,30
add on4,35
Whole BBQ Chicken,0
Portuguese Chicken,0
Village Greek,0
Kale Salad,0
Beetroot Salad,0
Alexandria Salad,0
Fattoush Salad,0
Chicken Schnitzel Salad,0
Oven Roasted Vegetables,0
Herbed Lemon Potatoes,0
Char Burger,0
Porto Burger,0
Veggie Burger,1
Miss Porky Burger,1
Mad Bull Burger,0
Horny Cow Burger,0
CCC Signature,4
Original,0
Honey,0
Hot and Spicy,0
Original,0
Honey,0
Hot and Spicy,0
Char Burger,0
Crispy Burger,0
Mad Bull Burger,0
Porto Burger,0
Vego Burger,1
Horny Cow Burger,0
Miss Porky Burger,1
CCC Signature Burger,4
CCC 600ml Bottle Still Water,0
Coke 375ml Can,0
Coke Zero 375ml Can,0
Coke No Sugar 375ml Can,0
Coke Diet 375ml Can,0
Fanta 375ml Can,0
Sprite 375ml Can,0
Lift 375ml Can,0
an Pellegrino 500ml,3
Roasted Lemon Potatoes,0
Roasted Veggies,0
Village Salad,0
Beetroot Salad,0
Alexandria Salad,0
Fattoush Salad,0
Chicken Schnitzel Salad,0
Hot Chips,0
Chocolate,0
Strawberry,0
Caramel,0
Vanilla,0
Double Ice Cream,2
Little Cow Burger 75g Wagyu Beef,0
Little Crispy Burger Fried Crumbed Breast Fillet,0
No Salt,0
Tomato Sauce,0
BBQ Sauce,0
No Sauce,0
Greek Island,0
Teriyaki & Lemongrass,0
One Piece,0
Two Pieces,5
"Greek Island (lemon, olive oil, garlic)",0
Small,0
Each,0
1 Extra Chicken Rib,10
2 Extra Chicken Ribs,350
Wild Berry Jam,0
Marmalade,0
Peanut Butter,0
Vegemite,0
Buttered,0
Butter on the side,0
No Butter,0
Latte,0
Mocha,0
Expresso,0
Macchiato,0
Flat White,0
Long Black,0
Cappuccino,0
Hot Chocolate,0
Chai Latte,1
Decaf,0.8
Soy,0.8
Double Shot,0.8
Large,0.8
Sugar x 1,0
Bundaberg ,0
Lipton Iced Tea,0
Noah s Juices,0
Still Water (600mL),0
SP Sparkling Mineral Water (500mL),0
Ginger Beer,0
Traditional Lemonade,0
Tropical Mango,0
Pineapple & Coconut,0
Passionfruit,0
Orange,0
Apple,0
"Apple, Banana, Lychee, Mango",0
"Apple, Peach, Kiwi, Mango",0
"Apple, Guava, Mixed Berries",0
"Apple, Pear, Coconut Water, Honeydew, Aloe Vera",0
Green Tea,0
Lemon,0
Peach,0
Mango,0
375 mL,0
600 mL,2
Coke,0
Coke Zero,0
Diet Coke,0
Fanta,0
Lift,0
Sprite,0
1 Extra Chicken Rib,1.75
2 Extra Chicken Ribs,3.5
3 Extra Chicken Ribs,5.25
4 Extra Chicken Ribs,7
5 Extra Chicken Ribs,8.75
6 Extra Chicken Ribs,10.5
Earl Grey (Blue Flower),0
English Breakfast (Good Morning),0
Green Tea (Cloud Mist),0
Chamomile (Heal and Peace)Chamomile (Heal and Peace),0
Peppermint (Organic),0
Masala Chai,0
Iced Coffee,0
Iced Chocolate,0
Chocolate ,0
Strawberry,0
Caramel,0
Vanilla,0
Coke (375mL),0
Fanta (375mL),0
Sprite (375mL),0
Lift (375mL),0
Coke (600mL),2
Fanta (600mL),2
werre,0
